date,open,high,low,close
7/13/1984,0.4755,0.4845,0.4643,0.4709
7/16/1984,0.4709,0.4709,0.4464,0.4598
7/17/1984,0.4598,0.4643,0.453,0.4598
7/18/1984,0.4598,0.462,0.4509,0.453
7/19/1984,0.453,0.4598,0.4486,0.453
7/20/1984,0.453,0.4598,0.4509,0.453
7/23/1984,0.453,0.453,0.4375,0.4486
7/24/1984,0.4486,0.4821,0.4464,0.4755
7/25/1984,0.4777,0.4889,0.4777,0.4777
7/26/1984,0.4777,0.4932,0.4732,0.4866
7/27/1984,0.4866,0.4911,0.4821,0.4845
7/30/1984,0.4845,0.4866,0.4509,0.4554
7/31/1984,0.4554,0.462,0.4443,0.4554
8/1/1984,0.4554,0.4598,0.433,0.4464
8/2/1984,0.4464,0.453,0.4307,0.4307
8/3/1984,0.4307,0.4911,0.4286,0.4889
8/6/1984,0.4889,0.5446,0.4866,0.5223
8/7/1984,0.5223,0.5357,0.4979,0.5291
8/8/1984,0.5291,0.5402,0.5045,0.5089
8/9/1984,0.5089,0.5357,0.4979,0.5313
8/10/1984,0.5313,0.5514,0.5068,0.5089
8/13/1984,0.5089,0.5402,0.5021,0.5357
8/14/1984,0.5357,0.5402,0.5089,0.5155
8/15/1984,0.5134,0.5134,0.4932,0.4979
8/16/1984,0.4979,0.5068,0.4911,0.5021
8/17/1984,0.5021,0.5045,0.4845,0.4911
8/20/1984,0.4911,0.4932,0.4755,0.4889
8/21/1984,0.4889,0.5134,0.4889,0.5089
8/22/1984,0.5089,0.5223,0.4955,0.5
8/23/1984,0.5,0.5111,0.5,0.5021
8/24/1984,0.5021,0.5089,0.4979,0.5021
8/27/1984,0.5021,0.5021,0.4889,0.4979
8/28/1984,0.4979,0.5045,0.4932,0.5045
8/29/1984,0.5045,0.5068,0.4866,0.4911
8/30/1984,0.4911,0.4979,0.4821,0.4821
8/31/1984,0.4821,0.4845,0.4666,0.4732
9/4/1984,0.4732,0.4777,0.4643,0.4688
9/5/1984,0.4688,0.4755,0.4643,0.4688
9/6/1984,0.4688,0.4798,0.4688,0.4732
9/7/1984,0.4732,0.4798,0.4688,0.4732
9/10/1984,0.4732,0.4754,0.462,0.4709
9/11/1984,0.4754,0.4888,0.4754,0.4798
9/12/1984,0.4798,0.4821,0.4664,0.4664
9/13/1984,0.4911,0.4932,0.4911,0.4911
9/14/1984,0.4932,0.5089,0.4932,0.4977
9/17/1984,0.5111,0.5179,0.5111,0.5111
9/18/1984,0.5111,0.5155,0.4932,0.4932
9/19/1984,0.4932,0.4977,0.4821,0.4821
9/20/1984,0.4843,0.4888,0.4843,0.4843
9/21/1984,0.4843,0.4977,0.4732,0.4798
9/24/1984,0.4798,0.4821,0.4754,0.4754
9/25/1984,0.4732,0.4732,0.4664,0.4664
9/26/1984,0.4664,0.4866,0.4598,0.4598
9/27/1984,0.4598,0.462,0.4598,0.4598
9/28/1984,0.4598,0.4598,0.4396,0.4486
10/1/1984,0.4464,0.4464,0.4375,0.4375
10/2/1984,0.442,0.4575,0.442,0.442
10/3/1984,0.4486,0.4554,0.4486,0.4486
10/4/1984,0.453,0.4575,0.453,0.453
10/5/1984,0.453,0.453,0.442,0.4441
10/8/1984,0.4441,0.4464,0.4441,0.4441
10/9/1984,0.4441,0.4464,0.4396,0.4396
10/10/1984,0.4396,0.4396,0.4263,0.4263
10/11/1984,0.4263,0.4375,0.4241,0.4241
10/12/1984,0.4241,0.4263,0.4018,0.4063
10/15/1984,0.4286,0.433,0.4286,0.4286
10/16/1984,0.4286,0.4307,0.4263,0.4263
10/17/1984,0.4441,0.4464,0.4441,0.4441
10/18/1984,0.4575,0.4598,0.4575,0.4575
10/19/1984,0.4575,0.4888,0.4554,0.4575
10/22/1984,0.4575,0.4643,0.453,0.453
10/23/1984,0.4643,0.4688,0.4643,0.4643
10/24/1984,0.4688,0.4732,0.4688,0.4688
10/25/1984,0.4688,0.4688,0.4509,0.4509
10/26/1984,0.4509,0.4509,0.4375,0.4396
10/29/1984,0.442,0.4441,0.442,0.442
10/30/1984,0.4464,0.4509,0.4464,0.4464
10/31/1984,0.4464,0.4509,0.4441,0.4441
11/1/1984,0.4464,0.4509,0.4464,0.4464
11/2/1984,0.4464,0.4486,0.442,0.4441
